,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_mean_vx_orig,fof_halo_mean_vx_comp,fof_halo_mean_vy_orig,fof_halo_mean_vy_comp,fof_halo_mean_vz_orig,fof_halo_mean_vz_comp,fof_halo_vel_disp_orig,fof_halo_vel_disp_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp,fof_halo_angmom_dx_orig,fof_halo_angmom_dx_comp,fof_halo_angmom_dy_orig,fof_halo_angmom_dy_comp,fof_halo_angmom_dz_orig,fof_halo_angmom_dz_comp,fof_halo_angmom_mag_orig,fof_halo_angmom_mag_comp,fof_halo_specific_angmom_mag_orig,fof_halo_specific_angmom_mag_comp
0,0,0,6.400349140167236,6.400349140167236,53,53,812471593,812471593,29077594112.0,29077594112.0,6876166405226496.0,6868788188282880.0,201.8352508544922,201.8352508544922,216.0012664794922,216.0012664794922,64.43347930908203,64.43347930908203,-430465344.0,-700593792.0,-388582720.0,-6106185216.0,692521984.0,-118834136.0,31.641969680786133,31.641969680786133,201.8179473876953,201.8179473876953,216.01345825195312,216.01345825195312,64.35572814941406,64.35572814941406,264.3488464355469,264.6669311523437,211.68338012695312,211.5283203125,-594.9732055664062,-594.4356689453125,37.72541809082031,37.8542594909668,37.72541809082031,37.8542594909668,-0.47656712513524735,-0.11396598452628849,-0.43019897496704124,-0.9932965689786009,0.7666893876777169,-0.019330815458568698,903262775.1606578,6147393846.612138,0.03106387590670341,0.21141342791063916
1,1,1,4.709710121154785,4.709710121154785,60,60,897730265,897730265,32918032384.0,32918032384.0,8978504578236416.0,8985318006980608.0,216.77452087402344,216.77452087402344,26.22027587890625,26.22027587890625,169.74783325195312,169.74783325195312,-12484421.0,106893104.0,-1460609664.0,5945934848.0,1791085312.0,-6184575488.0,35.00935745239258,35.00935745239258,216.7146148681641,216.7146148681641,26.233402252197266,26.233402252197266,169.76177978515625,169.76177978515625,140.4845428466797,140.47201538085938,-493.7558288574219,-493.8352355957031,-527.3002319335938,-527.5858764648438,36.19622802734375,36.36962890625,36.19622802734375,36.36962890625,-0.005401767060842619,0.012458561008656908,-0.6319774999372102,0.6930081481898696,0.7749679093264018,-0.7208220937235771,2311173521.4388456,8579891684.579356,0.07020995345281345,0.26064412309010493
2,2,2,4.427200794219971,4.427200794219971,86,86,1058741546,1058741546,47182512128.0,47182512128.0,1.7136050853904384e+16,1.710166856695808e+16,3.493515014648437,3.493515014648437,192.2079162597656,192.2079162597656,72.23245239257812,72.23245239257812,-983121984.0,-3587582976.0,-1567304576.0,-7157450240.0,-2044678784.0,-12580337664.0,39.85428237915039,39.85428237915039,3.439788341522217,3.439788341522217,192.2573699951172,192.2573699951172,72.21735382080078,72.21735382080078,18.976608276367188,18.98350143432617,817.1242065429688,816.1705322265625,-230.1478271484375,-230.27801513671875,42.2409553527832,42.398475646972656,42.2409553527832,42.398475646972656,-0.35652942888175837,-0.24058524667783118,-0.5683833893038511,-0.4799824681670867,-0.7415032630438749,-0.8436442196407197,2757477796.667519,14911899318.598488,0.0584427931515567,0.31604716760617685
3,3,3,4.397438049316406,4.397438049316406,58,58,635281657,635281657,31820763136.0,31820763136.0,3155311682650112.0,3158222328299520.0,158.71505737304688,158.71505737304688,221.43157958984372,221.43157958984372,62.63007354736328,62.63007354736328,-1710582528.0,-2033866368.0,-773462592.0,6547751936.0,238720944.0,-3704506880.0,32.8539924621582,32.8539924621582,158.69393920898438,158.69393920898438,221.4656219482422,221.4656219482422,62.69536209106445,62.69536209106445,392.45843505859375,392.8431091308594,196.1495819091797,195.9289093017578,39.77963638305664,39.720252990722656,37.5814094543457,37.457462310791016,37.5814094543457,37.457462310791016,-0.9039037445058209,-0.2609816113063721,-0.4087120742203547,0.8401942613231203,0.12614460374843978,-0.4753548167417955,1892438811.5409386,7793140512.15815,0.059471823584266996,0.244907404604055
4,4,4,4.242699146270752,4.242699146270752,43,43,40756331,40756331,23591256064.0,23591256064.0,4499975211843584.0,4495245647544320.0,10.644905090332031,10.644905090332031,217.93174743652344,217.93174743652344,44.68571090698242,44.68571090698242,-1466775680.0,6303786496.0,327334176.0,559944768.0,1048296512.0,1016725696.0,34.20431900024414,34.20431900024414,10.648931503295898,10.648931503295898,217.8758850097656,217.8758850097656,44.683712005615234,44.683712005615234,-4.441283226013184,-4.4498066902160645,-50.77196502685547,-50.75138473510742,612.302490234375,611.939453125,36.43860626220703,36.64615249633789,36.43860626220703,36.64615249633789,-0.8004890994866536,0.983467209552305,0.17864179461814214,0.0873581804900603,0.5721051571334207,0.15862154972407955,1832349348.5927916,6409757676.485845,0.07767069899211246,0.27170056817225025
5,5,5,3.69103741645813,3.69103741645813,68,68,699067133,699067133,37307101184.0,37307101184.0,3010747915304960.0,3007342006239232.0,164.56887817382812,164.56887817382812,179.03726196289062,179.03726196289062,184.2754669189453,184.2754669189453,513200000.0,-5187136000.0,-1759101824.0,-5699209728.0,677956736.0,-1319435520.0,36.74332427978516,36.74332427978516,164.5266571044922,164.5266571044922,179.0872344970703,179.0872344970703,184.29180908203125,184.29180908203125,-68.17019653320312,-68.10186004638672,249.61134338378903,249.6863555908203,-298.3739929199219,-298.0393371582031,42.518348693847656,42.474700927734375,42.518348693847656,42.474700927734375,0.2626640315746006,-0.6634474687614094,-0.9003366660991301,-0.7289429596567355,0.3469891845497217,-0.16875905238225755,1953826707.5377746,7818457744.188652,0.05237144258143856,0.20957022915363296
6,6,6,3.4330883026123047,3.4330883026123047,65,65,782011213,782011213,35661201408.0,35661201408.0,1130502098518016.0,1130231649796096.0,187.6205291748047,187.6205291748047,195.8092193603516,195.8092193603516,210.01754760742188,210.01754760742188,533217856.0,-1352831744.0,481641184.0,-457365152.0,-250235520.0,1293869312.0,45.76595306396485,45.76595306396485,187.5941925048828,187.5941925048828,195.8040771484375,195.8040771484375,209.98370361328125,209.98370361328125,103.31456756591795,103.32831573486328,-208.5744781494141,-208.5392608642578,-34.00836944580078,-33.96296691894531,51.86063766479492,51.859893798828125,51.86063766479492,51.859893798828125,0.7008037385943403,-0.7020303807479297,0.6330169528460138,-0.23734232525474708,-0.32888243702232434,0.6714327703870185,760866169.2780334,1927027349.6692822,0.021335965678019632,0.054037084382608194
7,7,7,3.147273063659668,3.147273063659668,90,90,289071621,289071621,49377046528.0,49377046528.0,5488137128116224.0,5483256434655232.0,66.53874206542969,66.53874206542969,178.556640625,178.556640625,137.48756408691406,137.48756408691406,-25998540.0,10398482432.0,1870698112.0,9370237952.0,3629351936.0,3147161344.0,40.8036994934082,40.8036994934082,66.5799560546875,66.5799560546875,178.50416564941406,178.50416564941406,137.52914428710938,137.52914428710938,-134.99072265625,-135.02862548828125,213.51173400878903,213.4308624267578,390.6933898925781,390.4414367675781,44.136112213134766,44.22443008422852,44.136112213134766,44.22443008422852,-0.006367223917408781,0.7247879455810201,0.45814702521671796,0.6531179486283125,0.888853622226212,0.21936129813617808,4083182928.2643514,14346930706.282848,0.08269394820828177,0.29055870521026816
8,8,8,3.120783567428589,3.120783567428589,49,49,192539947,192539947,26883059712.0,26883059712.0,7431477222440960.0,7417134716026880.0,35.05235290527344,35.05235290527344,168.10586547851562,168.10586547851562,78.45320892333984,78.45320892333984,1981318656.0,1474869760.0,-342394784.0,1036644352.0,-351185056.0,5846999040.0,36.87293243408203,36.87293243408203,35.07479476928711,35.07479476928711,168.0567626953125,168.0567626953125,78.46678161621094,78.46678161621094,-633.9136352539062,-633.4552001953125,356.4401550292969,355.6523132324219,136.157958984375,136.2018280029297,42.58049392700195,42.82656097412109,42.58049392700195,42.82656097412109,0.9706996164309677,0.2410469189919591,-0.16774812294341213,0.16942508004233264,-0.17205470615398472,0.9556105509553214,2041124383.3440862,6118600337.925078,0.07592604432720036,0.22760059321647347
9,9,9,3.037616491317749,3.037616491317749,55,55,222416663,222416663,30174861312.0,30174861312.0,2268914184617984.0,2269160876802048.0,49.84233856201172,49.84233856201172,27.649887084960938,27.649887084960938,190.89170837402344,190.89170837402344,-224974032.0,-3052890112.0,228348112.0,7108236800.0,-2437990144.0,-1758110080.0,30.631322860717773,30.631322860717773,49.75803756713867,49.75803756713867,27.61384010314941,27.61384010314941,190.89486694335935,190.89486694335935,-205.90606689453125,-205.8223419189453,-50.70210266113281,-50.70767211914063,-315.771728515625,-315.8877258300781,43.60655212402344,43.518550872802734,43.60655212402344,43.518550872802734,-0.09149102466497464,-0.3848170366768157,0.09286317430267858,0.8959938029283024,-0.9914665013323363,-0.22160991267845523,2458973793.5914326,7933354870.054611,0.08149080680657654,0.26291272022846573
