,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_mean_vx_orig,fof_halo_mean_vx_comp,fof_halo_mean_vy_orig,fof_halo_mean_vy_comp,fof_halo_mean_vz_orig,fof_halo_mean_vz_comp,fof_halo_vel_disp_orig,fof_halo_vel_disp_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp,fof_halo_angmom_dx_orig,fof_halo_angmom_dx_comp,fof_halo_angmom_dy_orig,fof_halo_angmom_dy_comp,fof_halo_angmom_dz_orig,fof_halo_angmom_dz_comp,fof_halo_angmom_mag_orig,fof_halo_angmom_mag_comp,fof_halo_specific_angmom_mag_orig,fof_halo_specific_angmom_mag_comp
0,0,0,0.5696293711662292,0.5696293711662292,1616,1616,543655151,543655151,886592307200.0,886592307200.0,3.831074063111946e+17,3.828187157894267e+17,128.02841186523438,128.02841186523438,115.03228759765624,115.03228759765624,56.06742858886719,56.06742858886719,-913126195200.0,-398746583040.0,93095428096.0,-243182813184.0,-1291994923008.0,-630688186368.0,116.12220764160156,116.12220764160156,127.92933654785156,127.92933654785156,114.95643615722656,114.95643615722656,56.10587310791016,56.10587310791016,-24.35218620300293,-24.349733352661133,-735.658935546875,-735.4044799804688,-502.56060791015625,-502.34765625,152.61090087890625,152.54226684570312,152.61090087890625,152.54226684570312,-0.5761631011615337,-0.508089656869254,0.05874122420067435,-0.3098676637305849,-0.8152211659662244,-0.80363358040629,1584839767349.133,784795710066.2037,1.7875631837527555,0.8851821786551632
1,1,1,0.5583286285400391,0.5583286285400391,1507,1507,779979578,779979578,826791231488.0,826791231488.0,2.1948717401636864e+17,2.1938057292808192e+17,197.1060943603516,197.1060943603516,215.72723388671875,215.72723388671875,201.6449279785156,201.6449279785156,-93901832192.0,-129533100032.0,5263935488.0,63039676416.0,79198240768.0,89445490688.0,149.2913055419922,149.2913055419922,197.07196044921875,197.07196044921875,215.7048797607422,215.7048797607422,201.6522521972656,201.6522521972656,635.7449340820312,635.5678100585938,73.87725830078125,73.84457397460938,-208.8481292724609,-208.76612854003903,160.92478942871094,160.93136596679688,160.92478942871094,160.93136596679688,-0.7637167047754679,-0.7639004324314539,0.04281232188128171,0.37176625945511077,0.6441303439072207,0.5274902630966687,122953749217.26645,169568041242.89224,0.14871196565060693,0.2050917266475066
2,2,2,0.4942685961723327,0.4942685961723327,13913,13913,944404240,944404240,7633143070720.0,7633143070720.0,1.4931010563919053e+18,1.4920758992379576e+18,231.5642547607422,231.5642547607422,171.48348999023438,171.48348999023438,187.0181884765625,187.0181884765625,3138218360832.0,4275730644992.0,-145925865472.0,1081207095296.0,1263658074112.0,1224891432960.0,291.46435546875,291.46435546875,231.59295654296875,231.59295654296875,171.4563446044922,171.4563446044922,187.0282745361328,187.0282745361328,215.8330993652344,215.76119995117188,147.7826385498047,147.73341369628906,-341.1533203125,-341.0271301269531,262.3013916015625,262.21435546875,262.3013916015625,262.21435546875,0.9267593004901905,0.9341260187553293,-0.043093927018004644,0.2362131208058725,0.37317571251234927,0.26760407815178827,3386228073645.555,4577252489647.138,0.4436217220445925,0.5996550106868869
3,3,3,0.4480775594711303,0.4480775594711303,1896,1896,39660745,39660745,1040209805312.0,1040209805312.0,3.356990419018711e+17,3.353999060196393e+17,15.444534301757812,15.444534301757812,216.03677368164065,216.03677368164065,62.40201568603516,62.40201568603516,-377990447104.0,-1017247760384.0,-2769934090240.0,-3202073493504.0,1022021271552.0,2109884596224.0,113.8000717163086,113.8000717163086,15.329705238342283,15.329705238342283,216.1879425048828,216.1879425048828,62.393165588378906,62.393165588378906,457.2351379394531,457.085693359375,347.1393127441406,346.96875,516.4854736328125,516.2103881835938,127.95564270019533,127.90872955322266,127.95564270019533,127.90872955322266,-0.12698881050938668,-0.2564063543381272,-0.9305807541009028,-0.8071111313945589,0.34335594082876475,0.5318151963173163,2976564987007.733,3967326640596.976,2.8615044501670925,3.813967740293525
4,4,4,0.3113084137439728,0.3113084137439728,2381,2381,665303610,665303610,1306297237504.0,1306297237504.0,4.1464339266063565e+17,4.143951779106652e+17,150.66883850097656,150.66883850097656,122.7524185180664,122.7524185180664,151.70086669921875,151.70086669921875,-162879553536.0,-221868572672.0,244539162624.0,323400335360.0,236997591040.0,301114785792.0,187.31005859375,187.31005859375,150.65655517578125,150.65655517578125,122.73975372314452,122.73975372314452,151.70574951171875,151.70574951171875,-577.3935546875,-577.2454833984375,-65.00695037841797,-64.98615264892578,467.248779296875,467.02349853515625,162.18008422851562,162.1842803955078,162.18008422851562,162.1842803955078,-0.43148300598383815,-0.4487153885557627,0.6478068651290422,0.6540570635691477,0.6278285443007782,0.6089859256736191,377487760299.18756,494452783057.22284,0.2889753950796605,0.3785147582505768
5,5,5,0.2767899334430694,0.2767899334430694,2799,2799,87679686,87679686,1535626182656.0,1535626182656.0,4.743253648526541e+17,4.73991285116502e+17,16.522262573242188,16.522262573242188,167.665771484375,167.665771484375,174.40240478515625,174.40240478515625,158333616128.0,-111821307904.0,1296857432064.0,1617815535616.0,1294468644864.0,1582824292352.0,171.028076171875,171.028076171875,16.495466232299805,16.495466232299805,167.69532775878906,167.69532775878906,174.34326171875,174.34326171875,-431.8331604003906,-431.6516723632813,588.7080078125,588.4783935546875,-6.344405651092529,-6.326903343200684,167.99232482910156,167.9844970703125,167.99232482910156,167.9844970703125,0.08608956572004012,-0.049345484199685645,0.7051306971789204,0.7139237811391187,0.7038318595872914,0.6984825394475671,1839173130956.3657,2266089992176.272,1.1976698181684782,1.4756781420963212
6,6,6,0.272065669298172,0.272065669298172,1626,1626,308753128,308753128,892078653440.0,892078653440.0,8.048892407762125e+16,8.043962644299776e+16,69.83865356445312,69.83865356445312,108.58715057373048,108.58715057373048,182.7255096435547,182.7255096435547,258966962176.0,164657627136.0,-381609050112.0,-302160052224.0,46885896192.0,73334521856.0,122.6841278076172,122.6841278076172,69.8263931274414,69.8263931274414,108.54222106933594,108.54222106933594,182.8290557861328,182.8290557861328,-162.26234436035156,-162.23379516601562,-286.73797607421875,-286.6126708984375,-128.31195068359375,-128.28883361816406,135.9421844482422,135.91339111328125,135.9421844482422,135.91339111328125,0.5586485067678945,0.46799121082666706,-0.823214375389312,-0.8588016915059858,0.10114315616188181,0.20843195833520287,463559750073.03613,351839144254.7525,0.5196399984300426,0.39440372538677354
7,7,7,0.2715418338775635,0.2715418338775635,2591,2591,703679206,703679206,1421510311936.0,1421510311936.0,3.254279196712632e+17,3.252007674409124e+17,164.47718811035156,164.47718811035156,20.09305000305176,20.09305000305176,175.33926391601562,175.33926391601562,347170701312.0,679887044608.0,-41136611328.0,-200306032640.0,-1317939445760.0,-1350371377152.0,167.2230682373047,167.2230682373047,164.50372314453125,164.50372314453125,20.14382743835449,20.14382743835449,175.3505096435547,175.3505096435547,-179.17666625976562,-179.09085083007812,-28.39839744567871,-28.36271095275879,-593.342041015625,-593.1463012695312,155.8810272216797,155.82266235351562,155.8810272216797,155.82266235351562,0.2546137589234856,0.44580392023982746,-0.030169444598908277,-0.13134125044268877,-0.966572107180549,-0.8854424547258576,1363519013190.2058,1525080901581.6724,0.9592044473692112,1.0728595415566253
8,8,8,0.2561566829681396,0.2561566829681396,1092,1092,734871847,734871847,599108157440.0,599108157440.0,7.136523671987814e+16,7.132828711623066e+16,170.09371948242188,170.09371948242188,217.7862091064453,217.7862091064453,65.40626525878906,65.40626525878906,-3428464384.0,3583259904.0,-35918766080.0,-37947645952.0,11052995584.0,4715629056.0,140.97122192382812,140.97122192382812,170.09747314453125,170.09747314453125,217.77944946289065,217.77944946289065,65.41122436523438,65.41122436523438,-187.9851531982422,-187.94456481933597,186.21807861328125,186.15798950195312,-353.7141418457031,-353.6112060546875,119.87347412109376,119.85552978515624,119.87347412109376,119.85552978515624,-0.09085154582241903,0.09329695490447645,-0.9518183819061865,-0.9880387992963131,0.29289548389684283,0.12278032941254122,37736995589.501274,38407040269.09321,0.06298861920150134,0.06410702273393704
9,9,9,0.2417452484369278,0.2417452484369278,5220,5220,820723406,820723406,2863868674048.0,2863868674048.0,1.531701198791377e+18,1.5308409683815956e+18,197.70079040527344,197.70079040527344,190.41860961914065,190.41860961914065,166.978515625,166.978515625,-521536634880.0,-277379383296.0,-928227393536.0,-1008875339776.0,172877201408.0,129534640128.0,233.0686492919922,233.0686492919922,197.6937561035156,197.6937561035156,190.40750122070312,190.40750122070312,166.96469116210938,166.96469116210938,193.7398223876953,193.699462890625,650.074462890625,649.8566284179688,-693.9390869140625,-693.7570190429688,206.55052185058597,206.5107879638672,206.55052185058597,206.5107879638672,-0.4835071689147142,-0.26309346948064255,-0.8605428058969257,-0.9569150751621763,0.160271322535019,0.12286319727243203,1078653365265.8081,1054299765948.4229,0.3766420489320696,0.3681383072842509
