,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_com_vx_orig,fof_halo_com_vx_comp,fof_halo_com_vy_orig,fof_halo_com_vy_comp,fof_halo_com_vz_orig,fof_halo_com_vz_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp,fof_halo_angmom_dx_orig,fof_halo_angmom_dx_comp,fof_halo_angmom_dy_orig,fof_halo_angmom_dy_comp,fof_halo_angmom_dz_orig,fof_halo_angmom_dz_comp,fof_halo_angmom_mag_orig,fof_halo_angmom_mag_comp,fof_halo_specific_angmom_mag_orig,fof_halo_specific_angmom_mag_comp
0,0,0,6.14028263092041,6.14028263092041,28,28,587644876,587644876,15361747968.0,15361747968.0,4978726089523200.0,4969374871977984.0,138.96530151367188,138.96530151367188,121.819580078125,121.819580078125,2.390533447265625,2.390533447265625,-333041.90625,88486864.0,35685288.0,-50639736.0,-30050658.0,-288359072.0,37.446964263916016,37.446964263916016,138.97341918945312,138.97341918945312,121.80757904052734,121.80757904052734,2.385084390640259,2.385084390640259,82.59638214111328,82.54805755615234,627.140869140625,626.2930908203125,495.6897277832031,495.5428161621094,28.05786895751953,28.05034637451172,-0.0071385547587893075,0.2893129709988641,0.7648928789157955,-0.16556957508131528,-0.6441179432525241,-0.9428068310206514,46653968.13548904,305851699.95833826,0.003037022104038795,0.01990995429657203
1,1,1,4.96535587310791,4.96535587310791,35,35,1057709872,1057709872,19202185216.0,19202185216.0,6239976521990144.0,6228850946080768.0,5.760894775390625,5.760894775390625,177.70651245117188,177.70651245117188,190.32061767578125,190.32061767578125,-1788975.875,-413168096.0,-84608560.0,76317736.0,-33926060.0,65168032.0,48.97015380859375,48.97015380859375,5.750633716583252,5.750633716583252,177.7084503173828,177.7084503173828,190.3237762451172,190.3237762451172,207.4304656982422,207.55972290039065,-247.1492156982422,-247.14833068847656,-736.31201171875,-735.430908203125,34.91934967041016,35.32176208496094,-0.019621453393843438,-0.9717456720434251,-0.927985077920744,0.17949456982794892,-0.3721003812456309,0.15327115928038024,91174483.31127812,425181308.12064624,0.004748130605224453,0.02214233970446076
2,2,2,4.739438056945801,4.739438056945801,81,81,39327590,39327590,44439343104.0,44439343104.0,1.2375133293379584e+16,1.236460954976256e+16,2.105947494506836,2.105947494506836,133.1219482421875,133.1219482421875,209.5945281982422,209.5945281982422,-129771240.0,-1352493824.0,-248464944.0,312075232.0,56002920.0,217791664.0,56.035404205322266,56.035404205322266,2.0990607738494877,2.0990607738494877,133.12600708007812,133.12600708007812,209.593017578125,209.593017578125,-250.40847778320312,-250.5028533935547,205.6815948486328,205.5531311035156,-664.9581909179688,-664.6251831054688,57.05610275268555,56.98211669921875,-0.4539795094602749,-0.9626196195774058,-0.8692064081008601,0.22211542542864185,0.1959153518910894,0.1550103409173203,285852637.16920143,1405013773.3466835,0.0064324226508080794,0.031616438840209087
3,3,3,3.978923320770264,3.978923320770264,21,21,696850300,696850300,11521310720.0,11521310720.0,1011763902414848.0,1011709074472960.0,160.09176635742188,160.09176635742188,140.94308471679688,140.94308471679688,218.57003784179688,218.57003784179688,6135651.5,-65540144.0,23919026.0,94803576.0,6092195.0,-2811062.5,35.00197219848633,35.00197219848633,160.09449768066406,160.09449768066406,140.94728088378906,140.94728088378906,218.5679931640625,218.5679931640625,-264.5228576660156,-264.614501953125,-197.91558837890625,-197.64630126953125,-254.10626220703125,-254.20361328125,25.301876068115234,25.295434951782227,0.24123956241478015,-0.5684947115662605,0.9404405327825006,0.822325498606931,0.23953095379447667,-0.024383134787318003,25433852.717120018,115287165.67904434,0.002207548545059986,0.010006427956058488
4,4,4,3.325172185897827,3.325172185897827,58,58,214227312,214227312,31820763136.0,31820763136.0,1742697744302080.0,1740580056989696.0,51.2167854309082,51.2167854309082,73.5767822265625,73.5767822265625,94.5758819580078,94.5758819580078,-29500056.0,-235894416.0,42686204.0,44697300.0,-65141652.0,119479256.0,55.99623489379883,55.99623489379883,51.20895004272461,51.20895004272461,73.57640075683594,73.57640075683594,94.580322265625,94.580322265625,-12.012682914733888,-12.027055740356444,-270.0649719238281,-269.867431640625,175.57034301757812,175.5260009765625,43.311954498291016,43.26874542236328,-0.3542212043257692,-0.8796195721672515,0.5125535554568258,0.16667041369487648,-0.7821868007033665,0.4455225936572467,83281451.36356509,268177770.7819658,0.002617204716543888,0.008427760504541967
5,5,5,3.2373926639556885,3.2373926639556885,29,29,561187037,561187037,15910381568.0,15910381568.0,3345665975386112.0,3352431891054592.0,122.78448486328124,122.78448486328124,49.59334182739258,49.59334182739258,52.79096603393555,52.79096603393555,78702880.0,41086468.0,-2404499.25,-144912448.0,43705124.0,-207841520.0,37.97886657714844,37.97886657714844,122.79843139648438,122.79843139648438,49.58355331420898,49.58355331420898,52.78560256958008,52.78560256958008,-604.7259521484375,-605.4749145507812,122.7001495361328,122.69862365722656,-192.2469940185547,-192.02622985839844,30.85539436340332,31.013301849365234,0.8739337597707103,0.1600673866598818,-0.026700078445901256,-0.5645595247039978,0.4853111263344506,-0.8097227765067944,90055887.09680799,256682318.97421008,0.005660196564860159,0.016133008367974426
6,6,6,3.2338550090789795,3.2338550090789795,28,28,555117467,555117467,15361747968.0,15361747968.0,1953565606150144.0,1951949087834112.0,127.08928680419922,127.08928680419922,108.41383361816406,108.41383361816406,234.34625244140625,234.34625244140625,-70063208.0,-68908152.0,33685976.0,-292054528.0,67439336.0,135684928.0,35.371681213378906,35.371681213378906,127.09068298339844,127.09068298339844,108.40496063232422,108.40496063232422,234.34873962402344,234.34873962402344,-268.4062805175781,-268.4623107910156,280.64703369140625,280.565673828125,317.66162109375,317.30615234375,29.59723281860352,29.77029228210449,-0.680781835153744,-0.2092409358372932,0.3273158796871673,-0.8868292209351217,0.6552865082002804,0.4120099072419726,102915801.18934476,329324430.34752685,0.006699485071863455,0.021437952961703404
7,7,7,3.0507960319519043,3.0507960319519043,21,21,355452678,355452678,11521310720.0,11521310720.0,2898643631734784.0,2901748356218880.0,90.83879089355467,90.83879089355467,0.3745889663696289,0.3745889663696289,182.85403442382807,182.85403442382807,-54577144.0,91046864.0,-8588605.0,179403936.0,-55691936.0,-82712768.0,35.263919830322266,35.263919830322266,90.82526397705078,90.82526397705078,0.3747338652610779,0.3747338652610779,182.83663940429688,182.83663940429688,362.6056518554688,362.1531982421875,198.2229461669922,198.2305908203125,-574.9664306640625,-575.7335205078125,24.61630249023437,24.48833656311035,-0.6957149494190455,0.4185600184896305,-0.109482110188015,0.8247545436520745,-0.7099256135001992,-0.380246569540369,78447565.40818113,217524034.73351723,0.006808909794612425,0.018880146540611417
8,8,8,2.973104476928711,2.973104476928711,27,27,472667822,472667822,14813114368.0,14813114368.0,987845900632064.0,987343322349568.0,113.13904571533205,113.13904571533205,196.21685791015625,196.21685791015625,164.6068115234375,164.6068115234375,60970324.0,-79232888.0,-13362187.0,-142720368.0,19534892.0,-18150650.0,42.9476203918457,42.9476203918457,113.13345336914062,113.13345336914062,196.2233428955078,196.2233428955078,164.6050567626953,164.6050567626953,91.42228698730467,91.39382934570312,-30.51845932006836,-30.489727020263672,-349.0338134765625,-348.9133605957031,27.449899673461918,27.590246200561523,0.9322264909839729,-0.48240687566080676,-0.20430569958725595,-0.8689483440265434,0.29868537062245043,-0.11050964541028496,65402908.616816185,164244939.27758768,0.0044152031093544165,0.011087806061390945
9,9,9,2.801218748092652,2.801218748092652,73,73,672085236,672085236,40050270208.0,40050270208.0,1.1722988680380416e+16,1.1719986498240512e+16,155.73666381835938,155.73666381835938,245.04818725585935,245.04818725585935,58.680152893066406,58.680152893066406,-281366336.0,-497176224.0,270586368.0,963506688.0,-218242080.0,802913920.0,55.16714096069336,55.16714096069336,155.7357177734375,155.7357177734375,245.05616760253903,245.05616760253903,58.6715202331543,58.6715202331543,-742.6860961914062,-742.508056640625,145.17274475097656,145.28929138183594,-61.96551132202149,-61.92209243774414,54.51660537719727,54.77909469604492,-0.6291328589031259,-0.3685112790162819,0.6050289373638974,0.7141594163111502,-0.48798753139879786,0.5951266800706396,447228803.9295129,1349147915.708798,0.011166686307154538,0.033686362381627755
